customer_id,month_year,avg_3mth_lag_fxd_brdbnd_total_download_gb,avg_3mth_fxd_brdbnd_total_sessions,min_months_until_contract_end,payment_mode_cash_cnt,max_months_until_contract_end,lag2_sum_net_revenue_amt,payment_mode_credit_card_cnt,lag2_sum_price,lag2_sum_unifi_stmx_rev_amt,lag2_sum_monthly_charges,lag2_sum_inv_tax_amt,payment_cent_type_bank_or_card_cnt,any_6mth_price_hike_10pct,account_cnt,lag2_fxd_voice_tot_usage_discnt_chrgs,lag2_sum_hypptv_revenue_amt,sum_hypptv_revenue_amt,revenue_score,fxd_voice_tot_usage_discnt_chrgs,avg_6m_cnt_prod_w,fxd_voice_wkend_tot_usage_discnt_chrgs,lag2_fxd_voice_wkday_tot_usage_discnt_chrgs,payment_cent_type_sbbs_or_mppj_cnt,spdtst_test_cnt,spdtst_avg_jitter,lag1_spdtst_avg_upload_kbps,lag1_spdtst_max_upload_kbps,payment_cent_type_post_office_cnt,tot_srvc_cnt,lag1_sum_hypptv_revenue_amt,avg_3m_tot_srvc_cnt,fxd_voice_wkday_tot_usage_discnt_chrgs,fxd_voice_wkday_postcode,fxd_voice_postcode,ct_unifi_super_value_pckg,fxd_voice_wkend_postcode,hypptv_rev_postcode,fxd_brdbnd_postcode,voice_rev_postcode,usage_charge_postcode,ct_promo_pckg,marital_status,ct_pckg_less_50_myr,monthly_charge_postcode,unifi_stmx_rev_postcode,net_revenue_postcode,is_out_of_contract,ct_unifi_pckg_less_150_myr,ct_pckg_over_100_myr,revenue_band,cnt_of_contracts,speed_upsell,y_pred,decile,percentile,y_pred_calibrated
1-14R-26372,202308,109.59866,8.333333,,1,,89,0,89,89,89,5.34,1,0,1,,0,0,3,,0,,,0,0,,,,0,1,0,1,,446,448,0,447,424,429,424,424,1,0,0,424,424,427,1,1,0,2,0,0,0.002982071,0,6,0.010026657
1-14R-34191,202308,0,0,,1,,69,0,69,69,69,4.14,1,0,1,,0,0,3,,0,,,0,0,,,,0,1,0,1,,1051,1055,0,1055,971,984,972,971,1,3,0,969,970,980,0,1,0,2,0,0,0.001578943,6,67,0.009650926
1-14V-13614,202308,22.810667,1.666667,,1,,89,0,85,89,89,5.34,1,0,1,,0,0,3,0,0,0,,0,0,,,,0,1,0,1,0,884,888,0,886,821,830,821,821,0,3,0,818,819,827,1,1,0,2,0,0,0.00165313,6,63,0.009670438
1-14V-14263,202308,315.77066,0.333333,16.193548,,16.193548,69,,69,69,69,4.14,,0,,,0,0,3,,0,,,,0,,,,,1,0,1,,856,861,0,859,795,804,795,795,1,3,0,792,793,800,0,1,0,2,1,0,0.001349299,8,81,0.009590773
1-14V-14996,202308,398.34167,1,,0,,89,0,85,89,89,5.34,1,0,1,,0,0,3,,0,,,0,0,,,,0,1,0,1,,1054,1059,0,1058,974,988,975,974,0,3,0,972,973,983,0,1,0,2,0,0,0.001985143,2,23,0.009758241
1-14V-19506,202308,122.942,1.333333,,1,,89,0,69,89,89,5.34,0,0,1,,0,0,3,,0,,,1,0,,,,0,1,0,1,,35,34,0,34,29,30,29,29,1,3,0,29,29,29,0,1,0,2,0,0,0.001812861,4,46,0.009712582
1-14V-20482,202308,149.33067,9.666667,,1,,89,0,85,89,89,5.34,0,0,1,,0,0,3,,0,,,1,0,,,,0,1,0,1,,201,199,0,200,189,191,189,189,0,3,0,189,189,190,1,1,0,2,0,0,0.00181001,4,46,0.009711828
1-14V-2174,202308,346.02032,4,,1,,89.4,0,89,89,89,5.364,1,0,1,,0,0,3,,0,,,0,0,,,,0,1,0,1,,1083,1092,0,1088,996,1010,997,996,1,3,0,994,995,1007,1,1,0,2,0,0,0.00190305,3,32,0.009736458
1-14V-24569,202308,102.271,6,,,,89,,69,89,89,5.34,,0,,,0,0,3,,0,,,,0,,,,,1,0,1,,1238,1252,0,1251,1118,1135,1120,1119,1,3,0,1117,1118,1134,1,1,0,2,0,0,0.001761169,5,53,0.009698923
1-14V-29756,202308,178.90633,4.333333,,1,,89,0,85,89,89,5.34,1,0,1,,0,0,3,,0,,,0,0,,,,0,1,0,1,,157,158,0,157,149,151,149,149,0,3,0,149,149,150,1,1,0,2,0,0,0.001831441,4,43,0.009717496
